content,score,thumbsUpCount,cleaned_content,language,sentiment_label,word_count,review_date
I almost never hear songs from my playlist anymore it reccomends songs based on my playlist that I don't like or have never listened to when I can go to apps that have ads but give me the songs I like. What's the point of ad revenue if it's for songs you don't want on top of that? I missed when I had control over what I listen to.,1,0,almost never hear songs playlist anymore reccomends songs based playlist dont like never listened go apps ads give songs like whats point ad revenue songs dont want top missed control listen,en,negative,31,
"Great App Experience, Especially On The Premium Membership Package",5,0,great app experience especially premium membership package,en,positive,7,
Everytime I try to listen to my like music it don't let me listen to it can you please fix this glitch,4,0,everytime try listen like music dont let listen please fix glitch,en,positive,11,
I love the music recommendations based on my favourite singers. Please add Psalty Kids praise albums 6 to 10. My children are loving Psalty as much as I did as a child.,4,0,love music recommendations based favourite singers please add psalty kids praise albums children loving psalty much child,en,positive,17,
"the best music app ever, but there are a lot of annoying ads",3,0,best music app ever lot annoying ads,en,negative,7,
what's there to say,5,0,whats say,en,neutral,2,
"reinstalled it, and after a few days... what? all songs just gone! playists are blank with no covers and singles hvae a cover but no song when you click them.",1,0,reinstalled days songs gone playists blank covers singles hvae cover song click,en,negative,12,
it was soooooooooo amazing honestly YT music and other apps are more hard to add stuff to your playlist so this is best option and it is very easy to find the song you want just search.,5,0,soooooooooo amazing honestly yt music apps hard add stuff playlist best option easy find song want search,en,positive,17,
love the podcasts,5,0,love podcasts,en,positive,2,
it's really good for music but some of the podcasts aimed at kids are introducing them to Inappropriate people 🌽 so check what you're kids are doing on it,4,0,really good music podcasts aimed kids introducing inappropriate people check youre kids,en,positive,12,
"guys the free version was a scam. today after the update, they've gone back to their ways. 30 second ads turned to a whole MINUTE. skips unlimited? nah, just 6 skips per hour. now you cant choose which song to play. never before have i saw such a greedy company. god forbid i want to listen to music for free. 😂",1,0,guys free version scam today update theyve gone back ways second ads turned whole minute skips unlimited nah skips per hour cant choose song play never saw greedy company god forbid want listen music free,en,positive,35,
I love this app,5,0,love app,en,positive,2,
"Just installed and signed up for premium because I heard Spotify finally has lossless. I'm east coast US. From what I can see, it's supposed to be live here... However, lossless is not an option in quality settings. only ""very high"". I tried to use the AI support in the app but that was useless. Guess I'll just stick to Tidal for now.",2,1,installed signed premium heard spotify finally lossless im east coast us see supposed live however lossless option quality settings high tried use ai support app useless guess ill stick tidal,en,negative,30,
wonderful Dolly Parton,5,0,wonderful dolly parton,en,positive,3,
Great app,4,0,great app,en,positive,2,
it be good. I just don't like the ads 🙁,4,0,good dont like ads,en,positive,4,
love it and it keeps me in the Riley Green News.,5,1,love keeps riley green news,en,positive,5,
"Too much advertisement, nither we can play whole album.",1,0,much advertisement nither play whole album,en,positive,6,
Not sure how we've survived this long without apps like this,5,1,sure weve survived long without apps like,en,positive,7,
would give 5 stars if they have higher bit rate music,4,0,would give stars higher bit rate music,en,neutral,7,
premium is so worth it... love you spotify devs dont go bald,5,0,premium worth love spotify devs dont go bald,en,positive,8,
"non premium sorta of sucks and there is no song videos, but overall it is still a bit better than yt music",4,0,non premium sorta sucks song videos overall still bit better yt music,en,positive,12,
"Worst app ever it was good first bit as the time flew it got worse worser and now the most worst It shows ad after every song and says they will geve 30 min break but after a 1 minute song you are again given the same damn ads listening music in youtube is more better than this,we can't even listen quene all for only prime users like hell never gonna use it again.I wish there was a rating less than 1 then i would i have happily given that to this app",1,0,worst app ever good first bit time flew got worse worser worst shows ad every song says geve min break minute song given damn ads listening music youtube better thiswe cant even listen quene prime users like hell never gonna use againi wish rating less would happily given app,en,negative,49,
I love it :D,5,0,love,en,positive,1,
"nice music app easy to use and reliable to get any of your fav songs ,i recommend you guys to Spotify as long as music is concern this the best ive seen 👌",5,0,nice music app easy use reliable get fav songs recommend guys spotify long music concern best ive seen,en,positive,18,
"I love the fact that I can still listen to my playlist while navigating through other apps. It really sets my day when I'm working and have this freedom, AWESOME!!!!!! 😇👍❤️‍🔥",5,0,love fact still listen playlist navigating apps really sets day im working freedom awesome,en,positive,14,
listen to the music all ad free when you get premium,5,0,listen music ad free get premium,en,positive,6,
Before the app with actually horrible but now it seems they fixed it up although there are repetitive ads that's not too bad,5,2,app actually horrible seems fixed although repetitive ads thats bad,en,neutral,10,
Can't complain yet just happy 😊 so far,5,0,cant complain yet happy far,en,positive,5,
Good app. No ads during songs.,5,1,good app ads songs,en,positive,4,
Pretty good music app,4,0,pretty good music app,en,positive,4,
"it says I bought premium, and I did but did not register, and it now gives me ads and not unlimited skips. I WANT MY MONEY BACK NOW!!!!!!!",1,0,says bought premium register gives ads unlimited skips want money back,en,negative,11,
"Even if you don't know what to play, it will find something good to listen to.",5,0,even dont know play find something good listen,en,positive,8,
I’m deleting Spotify because I won’t support a company tied to war profiteering and genocide. Music should never come at the cost of human lives,1,0,im deleting spotify wont support company tied war profiteering genocide music never come cost human lives,en,negative,16,
"I love the fact that it can be used on the background without paying a cent. Good job, developers.",5,0,love fact used background without paying cent good job developers,en,positive,10,
"Would be nice to have atmos, especially for new mixes of some late 90s and 2000s music that has always sounded harsh and lofi.",3,2,would nice atmos especially new mixes late music always sounded harsh lofi,en,neutral,12,
feel... relaxing... peace... mood... All in Spotify...,5,0,feel relaxing peace mood spotify,en,neutral,5,
listen to music through Spotify is amazing it is so reliable. I love using this app and I recommend it to everyone.,5,0,listen music spotify amazing reliable love using app recommend everyone,en,positive,10,
free revanced,1,0,free revanced,en,positive,2,
Embarrassingly poor podcast support,2,0,embarrassingly poor podcast support,en,negative,4,
Great Podcasts 👍🏼👍🏼👍🏼,5,0,great podcasts,en,positive,2,
"everyday playing music 🎼🎼, This app is lit",5,0,everyday playing music app lit,en,positive,5,
add the loop feature again and take off shuffle if I don't want it.,3,0,add loop feature take shuffle dont want,en,negative,7,
best music app,5,0,best music app,en,positive,3,
goo app just that on laptop the free version is waayyyyyy better,3,0,goo app laptop free version waayyyyyy better,en,positive,7,
planning to move to tidal instead given awful ethics of Spotify company,1,0,planning move tidal instead given awful ethics spotify company,en,negative,9,
Very fun app to use and has a LOT of music to choose from but there are ads,4,0,fun app use lot music choose ads,en,positive,7,
"I always find the perfect music for the right moment , always updated with newest hits.",5,0,always find perfect music right moment always updated newest hits,en,positive,10,
I hate the new update with alot of spikes all it wants to play is bad songs and I can't even pick what I want now,3,0,hate new update alot spikes wants play bad songs cant even pick want,en,negative,13,
premium is the best,5,0,premium best,en,positive,2,
Wonderful app for music lovers!!!,5,0,wonderful app music lovers,en,positive,4,
"literally the only good music app I've used and also has all my favorite songs, podcast, videos and even rain sounds that I listen to often",5,0,literally good music app ive used also favorite songs podcast videos even rain sounds listen often,en,positive,16,
Thanks to spotify this is very interesting,5,0,thanks spotify interesting,en,positive,3,
great app,5,0,great app,en,positive,2,
great for music. usually always on point,5,0,great music usually always point,en,positive,5,
Really Good,5,0,really good,en,positive,2,
"Maybe they have unlocked one of the premium feature like unlimited skip, it's a great initiative.",4,8,maybe unlocked one premium feature like unlimited skip great initiative,en,positive,10,
"Best destination for your tired, depressed mind to listen to music.",5,0,best destination tired depressed mind listen music,en,negative,7,
"It's a piece of trash that automatically plays when you connect to a Bluetooth device, whether you want it to or not. Guess I have to delete this if I ever want to turn on my car in peace ever again. 💢",1,0,piece trash automatically plays connect bluetooth device whether want guess delete ever want turn car peace ever,en,positive,17,
I love everything except the fact you can run out of audio book hours and as someone that loves listening to books 15 hours a month is not enough,4,0,love everything except fact run audio book hours someone loves listening books hours month enough,en,positive,15,
my go music app.,4,0,go music app,en,neutral,3,
please avoid the ads,5,1,please avoid ads,en,neutral,3,
"Spotify its a good app the only app I listen to music but sometimes I get frustrated, there is too MUCH ADS and oh my god 6 skips its really annoying, I just want listen to music, I had Spotify premium before I mean that was a waste a money there's other apps that I can listen with no ads but other then that it's fine, Spotify please make this app better.",3,0,spotify good app app listen music sometimes get frustrated much ads oh god skips really annoying want listen music spotify premium mean waste money theres apps listen ads fine spotify please make app better,en,negative,34,
it's pretty good I like the features,4,0,pretty good like features,en,positive,4,
yall give us the shuffle option just to TAKE IT AWAY even on the mix playlists. Really the worst app to listen to music,1,1,yall give us shuffle option take away even mix playlists really worst app listen music,en,negative,15,
"Tbh Spotify is literally unusable at this point unless you pay with premium. When I want to play a song, it would play seven different others songs before the song I want (using up all my skips and including ads) if you ask me, they just want the money. I feel bad for those who don't have premium. That's why I would rather use other music streaming apps instead of Spotify. Spotify is much more better with premium.",1,14,tbh spotify literally unusable point unless pay premium want play song would play seven different others songs song want using skips including ads ask want money feel bad dont premium thats would rather use music streaming apps instead spotify spotify much better premium,en,positive,43,
love the music and new update,5,0,love music new update,en,positive,4,
"Spotify lossless is live, except it isn't for most of us due to the agonisingly long rollout plan!",2,2,spotify lossless live except isnt us due agonisingly long rollout plan,en,neutral,11,
Great place for finding music. Please fix shuffle,4,0,great place finding music please fix shuffle,en,positive,7,
best app for music,5,0,best app music,en,positive,3,
"All the Music, all the time. Get this and forget the rest, Spotify does it all ..",5,0,music time get forget rest spotify,en,negative,6,
Put it back.,5,2,put back,en,neutral,2,
Spotify is an excellent app. I absolutely love it.,5,0,spotify excellent app absolutely love,en,positive,5,
"When jumping playlists, It would be great if we could resume where we left off.",4,0,jumping playlists would great could resume left,en,positive,7,
"This company is awful to begin with, and their playlists are stuffed to the brim with AI garbage. Even ignoring that, though, my main issue is how terribly slow and unstable this app is. I will always need a couple of minutes to load my library, then the shuffle feature, then a randomised queue, and then this queue is so laggy that song removal, addition and sorting will take seconds to load or be undone entirely. Want to turn shuffle off? Sit through 30 seconds for Smart Shuffle to load first.",1,21,company awful begin playlists stuffed brim ai garbage even ignoring though main issue terribly slow unstable app always need couple minutes load library shuffle feature randomised queue queue laggy song removal addition sorting take seconds load undone entirely want turn shuffle sit seconds smart shuffle load first,en,negative,47,
EDITED MY 1 STAR REVIEW. Cane back to Spotify because of lossless audio the release radar acrualy matched my music taste which is good. but UI is confusing. app is so bloated. trying to be sound cloud yoytuibe insta. AI DJ is awful,2,0,edited star review cane back spotify lossless audio release radar acrualy matched music taste good ui confusing app bloated trying sound cloud yoytuibe insta ai dj awful,en,negative,27,
Congratulations. You have bound me to choose another source for songs ☺️,1,1,congratulations bound choose another source songs,en,positive,6,
Great selection of all generas,5,0,great selection generas,en,positive,3,
"About 3 updates ago, Spotify wiped out over half of my liked songs from being saved. if I close and reopen the app they're back for a bit but will randomly disappear. I have years of songs saved, so seeing over 8000 songs dwindling to 1100 songs. I do enjoy the DJ feature, just lost some of the songs they recommend me.",3,0,updates ago spotify wiped half liked songs saved close reopen app theyre back bit randomly disappear years songs saved seeing songs dwindling songs enjoy dj feature lost songs recommend,en,positive,29,
"Spotify is good and amazing, too I need adjustment on the sounds, make the music sound with quality",4,0,spotify good amazing need adjustment sounds make music sound quality,en,positive,10,
love the app but could you plz add and easier way to reorganize song stacks in a play list,4,0,love app could plz add easier way reorganize song stacks play list,en,positive,12,
"actually is one of the best app for music but the thing which I hate on it is, it doesn't bring my nation's top 50 song playlist",5,0,actually one best app music thing hate doesnt bring nations top song playlist,en,negative,13,
yt music is just better,3,0,yt music better,en,positive,3,
Good app for music,5,0,good app music,en,positive,3,
Amazing. 100% worth buying premium. No other words.,5,0,amazing worth buying premium words,en,positive,5,
"sharing our info with third parties, shame, shame.",1,0,sharing info third parties shame shame,en,negative,6,
Wow! I love this app it has so many genres and I just discovered a channel called Smooth Gospel Jazz and I love it.,5,0,wow love app many genres discovered channel called smooth gospel jazz love,en,positive,12,
Been use this as my only music source for ages and for years and I only would recommend this app to people who don't have it,5,0,use music source ages years would recommend app people dont,en,positive,10,
I like this app,5,0,like app,en,positive,2,
more commercials than music,2,0,commercials music,en,neutral,2,
"Ever since the update, Spotify will no longer play any songs off of my playlists and instead only plays ""recommended"" songs. The app was highly inconvenient and obnoxious before, but now it's just unusable.",1,0,ever since update spotify longer play songs playlists instead plays recommended songs app highly inconvenient obnoxious unusable,en,negative,17,
"I can't login from another device, it says u can use Spotify abroad only for 14 days ?? I am in the same country. wdym Spotify abroad ??",1,0,cant login another device says u use spotify abroad days country wdym spotify abroad,en,neutral,14,
Always the best for music streaming.,5,0,always best music streaming,en,positive,4,
BEST DAM APP FOR MUSIC YEPPERS THEY ARE IT AWESOME,5,0,best dam app music yeppers awesome,en,positive,6,
Good to use....,5,0,good use,en,positive,2,
sound quality is the best,5,0,sound quality best,en,positive,3,
acchha h,5,0,acchha h,en,neutral,2,
"lovely all the music for me, sweet",5,0,lovely music sweet,en,positive,3,
I love that Spotify lets me know when my favorite artists are coming to town!,5,0,love spotify lets know favorite artists coming town,en,positive,8,
"too many restrictions.. to damn many... 6 skips per hour, a limit to how many songs I can select to listen to in a day and not being able to queue the songs I want.. Before all of this, it would have been an easy 5 star but now..it's more like a song radio than a song app. premium is not that expensive but why should I have the pay for what should be free. at this point, downloading cracked APKs is better. the only thing good is the music quality and abundance.",2,14,many restrictions damn many skips per hour limit many songs select listen day able queue songs want would easy star nowits like song radio song app premium expensive pay free point downloading cracked apks better thing good music quality abundance,en,positive,40,
money hungry final boss,2,0,money hungry final boss,en,neutral,4,
tooo much ads and restrictions in free version,1,0,tooo much ads restrictions free version,en,positive,6,
its perfect app for songs but only problem is ki if you don't have premium u can't play song in order it is,5,0,perfect app songs problem ki dont premium u cant play song order,en,negative,12,
more ads very bad but songs are good,1,0,ads bad songs good,en,positive,4,
Been using Spotify for 5yrs+ Loved alot of your playlists! Vast collections of different genres...good musical playlists too :),5,0,using spotify yrs loved alot playlists vast collections different genresgood musical playlists,en,positive,12,
Puts random songs in playlists and shuffles stuff it just isn't convenient at all.,2,0,puts random songs playlists shuffles stuff isnt convenient,en,neutral,8,
the best musical experience I ever had,5,0,best musical experience ever,en,positive,4,
good music app with good listening experience,5,0,good music app good listening experience,en,positive,6,
I love it it's perfect for music,5,0,love perfect music,en,positive,3,
worst app the premium pop up is irritating and i cannot even chose my wish songs to play,1,0,worst app premium pop irritating cannot even chose wish songs play,en,negative,11,
"Forcing people into premium by bombarding you with adverts, limiting skips, and throwing really badly recommended songs into your playlists unannounced...... Should be ashamed",1,0,forcing people premium bombarding adverts limiting skips throwing really badly recommended songs playlists unannounced ashamed,en,negative,15,
"this app is getting so worse, I can't skip my songs anymore because of this premium.",1,0,app getting worse cant skip songs anymore premium,en,negative,8,
best song list 👌 but ad is not good,5,0,best song list ad good,en,negative,5,
love Spotify much better than a billionaire owned app,5,0,love spotify much better billionaire owned app,en,positive,7,
this I never even had before but has great and I am it has great value,1,0,never even great great value,en,positive,5,
decline my payment methods even though my account is covered,1,0,decline payment methods even though account covered,en,neutral,7,
fun and seamless,5,0,fun seamless,en,positive,2,
HOW in the HELL do you get RID of the mf song bar at the bottom of the screen??!!! I played a song 10 days ago and it is STILL THERE and it is NOT in ANY QUEUE!!! WHY CAN'T I CLOSE THIS MF SONG BAR??!!!,1,0,hell get rid mf song bar bottom screen played song days ago still queue cant close mf song bar,en,negative,19,
one of the best music apps out there many choices of all genres and artists,5,0,one best music apps many choices genres artists,en,positive,8,
"I used to love this app, but now it's almost impossible to listen to what you want without premium. Will they bring back the previous version, or do I need to look for some similar apps? And yes, I have the newest version",1,0,used love app almost impossible listen want without premium bring back previous version need look similar apps yes newest version,en,positive,20,
"It's sucks that we don't have a credit card to get the free premium description and plus, I really dislike the fact that we have to wait a long time to listen to a song that we want to listen, and also some songs still has no lyrics ""were working on it"" or something shows I kid you not it has been like that for over months or possibly years Spotify, can't you just make it a literal music app that we all expect it to be?",2,0,sucks dont credit card get free premium description plus really dislike fact wait long time listen song want listen also songs still lyrics working something shows kid like months possibly years spotify cant make literal music app expect,en,negative,38,
the only downside is that i can't download one song from the album i have to download the entire thing even though im not fond of every other song that's in the album,4,0,downside cant download one song album download entire thing even though im fond every song thats album,en,negative,17,
worst experience every fudii,1,0,worst experience every fudii,en,negative,4,
Easy to find what you want,5,0,easy find want,en,positive,3,
Sorry Mr Daniel you mad a big mistake..,1,0,sorry mr daniel mad big mistake,en,negative,6,
There are many ads here that I don't like it at all,2,0,many ads dont like,en,negative,4,
better than expected,4,0,better expected,en,positive,2,
any good reviews are fake,1,0,good reviews fake,en,negative,3,
Smooth as silk. Can't get along without it.,5,0,smooth silk cant get along without,en,neutral,6,
Simply put I just love the app.,5,0,simply put love app,en,positive,4,
it's really to use and sync to other devices. I also really like that there's audiobooks included for on the go listening.,5,0,really use sync devices also really like theres audiobooks included go listening,en,positive,12,
the best app ever for music thank you,5,0,best app ever music thank,en,positive,5,
this app is very bad,1,0,app bad,en,negative,2,
even without premium it's amazing in my opinion.,5,0,even without premium amazing opinion,en,negative,5,
They make you watch/listen ads for supposedly 30 min of uninterrupted music and after a song plays an ad plays? what kind of scamming and lying is that? oh and not just one ad but 4 or 5 AT A TIME!,1,1,make watchlisten ads supposedly min uninterrupted music song plays ad plays kind scamming lying oh one ad time,en,negative,18,
free fire players ka favourite 🫶🤌😩,5,0,free fire players ka favourite,en,positive,5,
"full useless app builder, where we can't even see which number under profile and email ID.. local app builders are far better",1,0,full useless app builder cant even see number profile email id local app builders far better,en,positive,16,
bast app,5,0,bast app,en,neutral,2,
need lyrics with play,5,0,need lyrics play,en,positive,3,
good music app but in the end it's all about 💰,1,0,good music app end,en,positive,4,
don't want Spanish speaking ads...... that alone got you this review.,1,0,dont want spanish speaking ads alone got review,en,negative,8,
very good music playing App and easy to use with convenience,5,0,good music playing app easy use convenience,en,positive,7,
"finally after the recent update, Spotify actually feels like a music app that doesn't limit you in every aspect imaginable, actually good now with the unlimited skips and actually being able to listen to a song before adding it to a playlist. my only complaint is that when listening to an album after some time, it decides that you can't listen to the same song again only unless you choose one again manually because otherwise it plays 'similar' songs and nothing else from the album after that",4,11,finally recent update spotify actually feels like music app doesnt limit every aspect imaginable actually good unlimited skips actually able listen song adding playlist complaint listening album time decides cant listen song unless choose one manually otherwise plays similar songs nothing else album,en,positive,43,
WHAT?? I didn't expected that from them but still they have given us that cool feature. Let me clear myself..... I was saying that they have added an AI shuffle feature for free which is a very nice feature and there's also fewer restrictions than before..... I'm impressed!!!! and YES I DIDN'T TAKE ANY KIND OF SUBSCRIPTION THERE THIS FEATURE REALLY FOR FREE!!!! NOT KIDDING😉😉😉 what are you waiting for?? going and use it before it becomes the part of subscription,4,0,didnt expected still given us cool feature let clear saying added ai shuffle feature free nice feature theres also fewer restrictions im impressed yes didnt take kind subscription feature really free kidding waiting going use becomes part subscription,en,positive,38,
"Absolutely great yass I can listen to my favourite kpop songs with no issues and adverts with a premium account. Even the non premium accounts barely have any ads! Honestly so good, I can't reccomend enough. yayayayaya",5,0,absolutely great yass listen favourite kpop songs issues adverts premium account even non premium accounts barely ads honestly good cant reccomend enough yayayayaya,en,positive,23,
sticks on one specific thing also can y'all make it combine with suno creations for playlists,3,0,sticks one specific thing also yall make combine suno creations playlists,en,positive,11,
There is very ads in this app when I listen and song after a song there was many ads I don't like this,1,0,ads app listen song song many ads dont like,en,negative,9,
this is a bad experience BECAUSE EVERYTHING NEEDS PREMIUM NOWADAYS I rather prefer other music platforms where I'm atleast allowed to pick what song I want.,1,0,bad experience everything needs premium nowadays rather prefer music platforms im atleast allowed pick song want,en,negative,16,
this app is so annoying the ads the skips are limited to 6 per hour+ u can't even bloody play the song u want all they want is enormous money nothing else I'm so donee I hope these ppl update remove these hate these feautures,1,0,app annoying ads skips limited per hour u cant even bloody play song u want want enormous money nothing else im donee hope ppl update remove hate feautures,en,negative,28,
the best music app,5,0,best music app,en,positive,3,
Spotify or nothing,5,0,spotify nothing,en,neutral,2,
peak music applications,5,0,peak music applications,en,neutral,3,
it has very much++ adds,1,0,much adds,en,neutral,2,
when I click on a new release song it just keeps playing the same song over and over I have to go into the app and back out for it to play something else.,3,1,click new release song keeps playing song go app back play something else,en,positive,13,
the app has a lot of music especially songs that I'm looking for for years,5,0,app lot music especially songs im looking years,en,neutral,8,
"Pay your real artists, stop deleting their content.",1,0,pay real artists stop deleting content,en,negative,6,
Can't share lyrics. Share button is unavailable. Xperia 10 iii,5,0,cant share lyrics share button unavailable xperia iii,en,negative,8,
love this app so much,5,0,love app much,en,positive,3,
good and use ful,5,0,good use ful,en,positive,3,
best music app ever and the deals are amazing,5,0,best music app ever deals amazing,en,positive,6,
I really appreciate that they gave us the freedom play any song we want manually. Now theres no Limits with that. Though i think they should also make the shuffle control free too.,4,0,really appreciate gave us freedom play song want manually theres limits though think also make shuffle control free,en,positive,18,
abusing notifications by sending concert and recommendations in the 'now playing ' channel,1,0,abusing notifications sending concert recommendations playing channel,en,negative,7,
Not installed in my watch show make sure you have Internet connection but I have Internet,1,0,installed watch show make sure internet connection internet,en,positive,8,
best as always.,5,0,best always,en,positive,2,
World best,5,0,world best,en,positive,2,
"very good, user friendly, great experience",5,0,good user friendly great experience,en,positive,5,
"wth, accidentally log out and can't log in. thanks for the reply log in by google account. so there's no password. and there's none confirmed by email",1,0,wth accidentally log cant log thanks reply log google account theres password theres none confirmed email,en,negative,16,
this app make my life super duper happy,5,0,app make life super duper happy,en,positive,6,
The only thing I need is to hear songs offline,5,0,thing need hear songs offline,en,negative,5,
Love this app!,5,0,love app,en,positive,2,
"It was very good until today...the times you can freely choose the songs you want to listen to for FREE is LIMITED, you can only have 6 skips on song per day???? what the helli is up with that??? seriously😭 I'D SAY YOU CAN'T LISTEN TO ANYTHING HERE WITHOUT HAVING TO PAY TO GET PRIMIUM AND WITHOUT GETTING FRUSTRATED WITH ALL THE LIMITED OPTIONS WHEN USING IT FOR FREE........it's been one day and I already miss the previous Spotify without this update(⁠｡⁠•́⁠︿⁠•̀⁠｡⁠) I STILL LOVE THIS APP THO....",3,0,good todaythe times freely choose songs want listen free limited skips song per day helli seriously id say cant listen anything without pay get primium without getting frustrated limited options using freeits one day already miss previous spotify without update still love app tho,en,positive,44,
Love it <3,5,0,love,en,positive,1,
"Imagine constantly trying to listen to the songs in your library except it keeps defaulting to entire lists of 'recommended' songs.. I want to listen to my actual library of songs, not some random stuff",1,0,imagine constantly trying listen songs library except keeps defaulting entire lists recommended songs want listen actual library songs random stuff,en,positive,20,
awesome place to hear music,4,0,awesome place hear music,en,positive,4,
mood fresh platform,5,0,mood fresh platform,en,positive,3,
I really like that app👍,5,0,really like app,en,positive,3,
