content,score,thumbsUpCount,text,sentiment_label,word_count,review_date
"lagu bukan hanya alunan nada tapi bisa jadi ungkapan kebebasan, perdamaian dan ketenangan ğŸ‰",1,2,lagu alunan nada ungkapan kebebasan perdamaian ketenangan,neutral,7,
iklan Mulu gak jelass apa apa harus premium kocakk,1,0,iklan mulu tidak jelass premium kocakk,negative,6,
Terima kasih banyak ğŸ™ğŸ‘ğŸ‘ğŸ‘,5,0,terima kasih,positive,2,
"kok di aku mah gk bisa ada lirik ya sih tolong dong , tapi apk ya bagussss bgtttt ğŸ’“ğŸ’“ğŸ’“ğŸ’“ğŸ‰ğŸ‰ğŸ‰ğŸ‰ğŸ€ğŸ€ğŸ€ğŸ€ğŸ™ŒğŸ»ğŸ™ŒğŸ»ğŸ™ŒğŸ»ğŸ™ŒğŸ»ğŸ™ŒğŸ»â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸",4,0,mah gk lirik ya sih tolong apk ya bagussss bgtttt,positive,10,
sangat banyak lagu nya,5,0,lagu nya,positive,2,
"sngt bagusss sekali,apalagi kalo musik koleksinya bisa didengar secara offline terus,pasti tambah mantapp",5,0,sngt bagusss sekaliapalagi kalo musik koleksinya didengar offline teruspasti mantapp,positive,10,
very good i like it but why do i have to pay? i just want it free this is not what i expected i am disappointed.,3,0,very good i like it but why do i have to pay i just want it free this is not what i expected i am disappointed,negative,26,
"apk pemutar lagu paling bagus menurut ku,, tinggal klik di pencarian dan langsung putar,,bisa juga dipakai dilatar belakang JD bisa sambil buka apk yg lain,,ada iklan,tp masih wajar saja",5,1,apk pemutar lagu bagus ku tinggal klik pencarian langsung putarbisa dipakai dilatar jd buka apk yang lainada iklantp wajar,neutral,19,
Tnks spotify musik sudah memberi yang terbaik bagi para pendengar musik tanah air semoga kedepan nya makin bagus lagi.... Salam pendengar musik..,5,0,tnks spotify musik terbaik pendengar musik tanah air semoga kedepan nya bagus salam pendengar musik,positive,15,
sungguh bagus buat klian yg suka dengar musik di sportify,5,0,sungguh bagus klian yang suka dengar musik sportify,positive,8,
bagus,5,0,bagus,positive,1,
sangat bagus,5,0,bagus,positive,1,
iklan sia loba loba teuing atuh kehed,1,1,iklan sia loba loba teuing atuh kehed,negative,7,
sangat jelek ada iklan nya,1,1,jelek iklan nya,negative,3,
ok,5,0,ok,positive,1,
bagus,5,0,bagus,positive,1,
rhtrhy jrjgorrht rumah,5,0,rhtrhy jrjgorrht rumah,neutral,3,
gatau ini cuma aku yg pernah ngalamin ato yg lain pernah juga tapi ad kyk bug gitu yg bikin musiknya ganti ganti terus dan ga ada suaranya tapi overall semuanya udah bagus dan lagunya juga lengkap sekian dan mohon diperbaikan:v,4,0,gatau yang ngalamin ato yang ad kyk bug gitu yang bikin musiknya ganti ganti tidak suaranya overall udah bagus lagunya lengkap sekian mohon diperbaikanv,negative,24,
keren,5,0,keren,positive,1,
kikir ih kebanyakan iklan,4,0,kikir ih kebanyakan iklan,negative,4,
good,5,0,good,positive,1,
top,5,0,top,positive,1,
bagus kak,5,0,bagus kak,positive,2,
bagus,5,0,bagus,positive,1,
mantap,4,0,mantap,positive,1,
1 nya harus premium mls,4,0,nya premium mls,positive,3,
lumayan,4,0,lumayan,positive,1,
perfect apk,5,0,perfect apk,positive,2,
"lu maunya apa dah gw dah cape cape nyari lagu trus pas satu lagu dah kelar malah nyepam rekomendasi,ok lah kalo 1x setiap 3 lagu lah ini lu spam terus lagu yang gw taro di playlist sampe gk keputar,semiskin itu kalian sampe maksa beli premium",1,0,lu maunya sudah gw sudah cape cape nyari lagu trus pas lagu sudah kelar nyepam rekomendasiok kalo x lagu lu spam lagu gw taro playlist sampe gk keputarsemiskin sampe maksa beli premium,negative,32,
JUARA..,5,0,juara,positive,1,
"Gudang lagu yang sangat lengkap, dan mudah untuk dicari. Mantap.",5,0,gudang lagu lengkap mudah dicari mantap,positive,6,
iklan nya kurangin please,4,0,iklan nya kurangin please,negative,4,
BANYAK SAMPAH,1,0,sampah,negative,1,
sangat bagus dan berguna untuk menghibur hari,5,0,bagus berguna menghibur,positive,3,
"Spotify sekarang pelit ya, apa apa premium. dulu masih bisa liat lirik ga ada batas untuk skip lagu juga. terus sekarang juga dikit dikit iklan itu memang resiko pengguna gratis tapi engga setiap 2 lagu iklan juga kaliii, dengerin 2 lagu iklannya 3 hadehh.",2,0,spotify pelit ya premium liat lirik tidak batas skip lagu dikit dikit iklan resiko pengguna gratis engga lagu iklan kaliii dengerin lagu iklannya hadehh,negative,24,
"lagu nya seru,aplikasinya juga bagussss",5,0,lagu nya seruaplikasinya bagussss,positive,4,
mantap sob di tunggu ya,5,0,mantap sob tunggu ya,positive,4,
the best,5,0,the best,positive,2,
aplikasi keren.,5,0,aplikasi keren,positive,2,
"orang pake spotify download dr play store kok sering muncul ""ada yang salah""",1,0,orang pake spotify download dari play store muncul salah,neutral,9,
ok,5,0,ok,positive,1,
"Bagus, keren banget, iklan jangan terlalu banyak",4,0,bagus keren banget iklan,positive,4,
sepotovav sanggat bagus,5,0,sepotovav sanggat bagus,negative,3,
Suara & data serta info music yg bagus..,5,0,suara data info music yang bagus,positive,6,
"woi ada bug, plyalist gw ilang gabisa diputer",2,0,woi bug plyalist gw ilang gabisa diputer,negative,7,
mantap mantap saya suka apk ini ğŸ‘ğŸ‘,5,0,mantap mantap suka apk,positive,4,
lagu yang saya dengar sangat bagus sehingga hati saya tenang dan terasa sangat nyaman di dengarğŸ˜ğŸ˜„,3,0,lagu dengar bagus hati tenang nyaman dengar,positive,7,
bagus apknya,5,0,bagus apknya,positive,2,
great app music,5,0,great app music,positive,3,
bagus,5,0,bagus,positive,1,
jelek sekaliii,5,0,jelek sekaliii,negative,2,
whyyyyy spoti whyyyyyyy,1,0,whyyyyy spoti whyyyyyyy,negative,3,
KEREEEEEEENNNNNNNN ğŸ‘,5,0,kereeeeeeennnnnnnn,positive,1,
nyaman,5,0,nyaman,positive,1,
aplikasi Spotify music nya lengkap banget saya kasih bintang 5 yaa enak buat ngemusic galauu,5,0,aplikasi spotify music nya lengkap banget kasih bintang yaa enak ngemusic galauu,positive,12,
sangat asik musiknya,5,0,asik musiknya,positive,2,
bagus,5,0,bagus,positive,1,
bagus suaranya jernih tapi iklan nya kebanyakan,4,0,bagus suaranya jernih iklan nya kebanyakan,positive,6,
good,5,0,good,positive,1,
bagus,5,0,bagus,positive,1,
spotify memberikan kenyamanan bagi yg mendengarnya,5,0,spotify kenyamanan yang mendengarnya,positive,4,
ok,5,0,ok,positive,1,
keren,5,0,keren,positive,1,
the real the best nih apk tapi tolong yah jangan iklan mulu hhe kali-kali di turunin min harga Spotify premium nya jadi dua rebu wkwk becanda.. tapi Spotify the real the best sih,5,0,the real the best nih apk tolong yah iklan mulu hhe kalikali turunin min harga spotify premium nya rebu wkwk becanda spotify the real the best sih,positive,27,
"Kenapa sihh pas update terbaru ini playlist lagu saya suka hilang mulu??? Saya harap ada update terbaru, jangan update terus tapi masih ada bug!!. saya jadinya gak bisa dengerin musik gara-gara playlist lagu kesukaan saya hilang semua!!",2,0,sihh pas update terbaru playlist lagu suka hilang mulu harap update terbaru update bug tidak dengerin musik garagara playlist lagu kesukaan hilang,negative,22,
"Spotify sekarang kemahalan sumpah, dulu aja enak loh waktu ada bonus Rp.800 tapi sekarang dihilangin ya sama yang premium semingguan sama hariannya",4,0,spotify kemahalan sumpah saja enak loh bonus rp dihilangin ya premium semingguan hariannya,negative,13,
banyak lagu yang enak didengar biasanya buat nemenin aku saat mengerjakan pr sekolah,5,0,lagu enak didengar nemenin pr sekolah,positive,6,
"lagu yang saya sukai, dan saya ikuti tidak bisa di putar padahal jaringan bagus",1,0,lagu sukai ikuti putar jaringan bagus,neutral,6,
saya menyukai,3,0,menyukai,positive,1,
raja mantap,5,0,raja mantap,positive,2,
bgs bgttt weh,5,0,bgs bgttt weh,positive,3,
bagus,5,0,bagus,positive,1,
kecewa guağŸ˜‚,1,1,kecewa gua,negative,2,
"bagus tapi jangan ada iklan biar penggunanya tidak terganggu lagi, kaya yang lagi kerja lembur kalo banyak iklan tambah geganggu atau stres trima kasih",5,0,bagus iklan biar penggunanya terganggu kaya kerja lembur kalo iklan geganggu stres trima kasih,negative,14,
sangat baek,5,0,baek,positive,1,
bagus banget aku nyari semua lagu old ada di sini bisa nostalgia lagu lagu terdahulu,5,1,bagus banget nyari lagu old nostalgia lagu lagu,positive,8,
keren jg mudah di aplikasikan,4,0,keren jg mudah aplikasikan,positive,4,
bagus ..,5,0,bagus,positive,1,
bagus banget tapi kalau mau liat lirik itu hanya terbatas jadi bagi yang mau lihat jadi gabisa deh soalnya terbatss,4,0,bagus banget liat lirik terbatas lihat gabisa deh terbatss,positive,9,
habis di-update jelek banget babi. tampilan jumlah lagu yg diputar ga dimunculkan.,1,0,habis diupdate jelek banget babi tampilan lagu yang diputar tidak dimunculkan,negative,11,
"beli premium duo,ngurusin addresnya trouble mulu gaje bgt...udah bayar masi kaya gini,hadehh",1,0,beli premium duongurusin addresnya trouble mulu gaje bgtudah bayar masi kaya ginihadehh,negative,12,
suara nya jelas Poko nya Spotify bagus banget buat denger lagu,5,0,suara nya poko nya spotify bagus banget denger lagu,positive,9,
sru aja si kata aku,3,0,sru saja si,negative,3,
Saya paling suka dari dulu aplikasi ini iklan nya pun tak bayak,5,0,suka aplikasi iklan nya bayak,positive,5,
ok,5,0,ok,positive,1,
gapapa jelek aja,1,0,gapapa jelek saja,negative,3,
mantap,5,0,mantap,positive,1,
SAMPAHHHHHHHH,1,0,sampahhhhhhhh,negative,1,
I LOVE U SPOTIFY aku gk bisa hidup tanpa muuâ¤ï¸â¤ï¸â¤ï¸,5,0,i love u spotify gk hidup muu,positive,7,
"banyak sekali iklan, lirik sudah banyak yang ilang juga. jadi gak bisa nyanyi lagi, terus terlalu diskriminasi dengan pengguna gratisan. seandainya kalau ada uang aku juga akan beli tau gak!!!!. intinya aku kecewa",1,1,iklan lirik ilang tidak nyanyi diskriminasi pengguna gratisan seandainya uang beli tau tidak intinya kecewa,negative,15,
ga tau,1,0,tidak tau,negative,2,
apk ini bagus banget,5,0,apk bagus banget,positive,3,
"suka error kalau ga update, aneh tolong diperbaikin, tau update buat lebih bagus, tapi masa harus error segala lagian update juga ga ada update gedeÂ²an cuma update biasa tiap minggu",1,0,suka error tidak update aneh tolong diperbaikin tau update bagus error update tidak update gedean update minggu,negative,17,
top & terbaikğŸ‘,5,0,top terbaik,positive,2,
enak tapi terkadang harus premium dulu terus ditunggu beberapa hari baru deh seperti biasa,4,0,enak terkadang premium ditunggu deh,positive,5,
Kamu mau gak jadi pacar aku,5,0,tidak pacar,negative,2,
"terima kasih admin sarah m yang sudah membantu saya refund. awalnya saya berlangganan paket 59.900 untuk 3 bulan, yang ternyata hanya untuk satu bulan. ketika chat admin, baru uang dapat dikembalikan",5,0,terima kasih admin sarah m membantu refund berlangganan paket chat admin uang dikembalikan,neutral,13,
bagus banget,5,0,bagus banget,positive,2,
di aku banyak iklan nya tapi gapapa tetep bagus lengkap andd pokok nya baguss sippğŸ‘ğŸ»ğŸ‘ğŸ»,4,0,iklan nya gapapa tetep bagus lengkap andd pokok nya baguss sipp,positive,11,
aku udah tau kisah gelap nya,1,0,udah tau kisah gelap nya,negative,5,
Mantappp,5,0,mantappp,positive,1,
TOP,5,0,top,positive,1,
cakep,5,0,cakep,positive,1,
josjis,5,0,josjis,positive,1,
bgus bet,5,0,bgus bet,positive,2,
iklannya nambah jadi 3 â˜¹ï¸,3,0,iklannya nambah,positive,2,
"bug, suddenly stop playing",1,0,bug suddenly stop playing,negative,4,
bagus,5,0,bagus,positive,1,
ok Bagus untuk.semua musik,5,0,ok bagus untuksemua musik,positive,4,
"Good application but there is a small bug, sometimes when I want to open the application it takes a long time and then suddenly it goes straight in, please fix the bug",3,0,good application but there is a small bug sometimes when i want to open the application it takes a long time and then suddenly it goes straight in please fix the bug,neutral,32,
bagus banget,5,0,bagus banget,positive,2,
bagus buat denger musik,5,0,bagus denger musik,positive,3,
sangat bagusğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ’€,5,0,bagus,positive,1,
bagus,5,0,bagus,positive,1,
bagus banget bisa dengerin lagu apa aja,5,0,bagus banget dengerin lagu saja,positive,5,
enak banget,5,0,enak banget,positive,2,
bagus,4,0,bagus,positive,1,
terlalu bagus ah,5,0,bagus ah,positive,2,
APLIKASINYA BAGUS DAN KEREN BGT,5,0,aplikasinya bagus keren banget,positive,4,
bagus bngt,5,0,bagus bngt,positive,2,
mantap,5,0,mantap,positive,1,
bla bla bla ble ble ble blu blu blu,5,0,bla bla bla ble ble ble blu blu blu,negative,9,
subrek welino,5,0,subrek welino,neutral,2,
bgus tpi sering ada iklan jdii biasa aja kalau ga ada iklan bakalan enakkk di denger tnpa gangguan,3,0,bgus tpi iklan jdii saja tidak iklan enakkk denger tnpa gangguan,negative,11,
keren,5,0,keren,positive,1,
b aja,5,0,b saja,neutral,2,
saya sangat senang denger lagu kesaan saya disini,5,0,senang denger lagu kesaan,positive,4,
keren dan mantep,5,0,keren mantep,positive,2,
males karena ada iklannya,4,0,males iklannya,negative,2,
bagus banget lengkap lagi lagu nya,5,0,bagus banget lengkap lagu nya,positive,5,
"the application is really good It's really good, you guys should download this application, it's really better than TikTok",5,0,the application is really good its really good you guys should download this application its really better than tiktok,neutral,19,
isk,5,0,isk,negative,1,
bagus,5,0,bagus,positive,1,
spotify iniiii sangatt seruuuu sya sangat sukaaa sekaliii kalo sy lagi apa sya pasti cariii lagi di spotify,5,0,spotify iniiii sangatt seruuuu sya sukaaa sekaliii kalo sy sya cariii spotify,positive,12,
ok banget,5,0,ok banget,positive,2,
Niceee,5,0,niceee,positive,1,
"kok mode shuffle nya ngaco, kalau pilih lagu harusnya yg next nya beda, lah ini malah tetep sama",3,0,mode shuffle nya ngaco pilih lagu yang next nya beda tetep,negative,11,
menyenang kan,5,0,menyenang,negative,1,
aplikasi nya bagus sangat cocok di gunakan berbagai kalangan,5,0,aplikasi nya bagus cocok kalangan,positive,5,
good,5,0,good,positive,1,
bagus sekali,5,0,bagus,positive,1,
lagu nya banyak banget,5,0,lagu nya banget,positive,3,
kebanyakan iklan,1,0,kebanyakan iklan,negative,2,
mantap,5,0,mantap,positive,1,
apk ini sangat bagus,5,0,apk bagus,positive,2,
ga bisa login,1,0,tidak login,negative,2,
sangat menhibur,5,0,menhibur,positive,1,
ini membuat saya menjadi tenang saat bemain gema,5,0,tenang bemain gema,positive,3,
kebanyakan iklan,1,0,kebanyakan iklan,negative,2,
SCAM PREM STUDENTS,4,0,scam prem students,negative,3,
"enak untuk mendengarkan musik,suara tidak putus putus",5,0,enak mendengarkan musiksuara putus putus,positive,5,
bagus,5,0,bagus,positive,1,
bagus,4,0,bagus,positive,1,
okeh mantap laguya pada enak,5,0,okeh mantap laguya enak,positive,4,
bisa nih buat galauğŸ¤¡,4,0,nih galau,negative,2,
Aku belum bisa sekarang aku kasi bintang tiga aja dulu ya kalo udah bisa aku kasi bintang lima ya okay bay bay,3,0,kasi bintang saja ya kalo udah kasi bintang ya okay bay bay,neutral,12,
bagus banget dan apa saja yang aku mau pasti ada,5,0,bagus banget,positive,2,
BINTANG LIMA POKOKNYA SPOTify,5,0,bintang pokoknya spotify,positive,3,
"spotify banyakan iklan, orang ga mau premium di suruh premium, kebelet haji ya ğŸ˜",1,0,spotify banyakan iklan orang tidak premium suruh premium kebelet haji ya,negative,11,
bagus,5,0,bagus,positive,1,
sangat bagus tapi ada sedikit gejala saat lagu sudah di putar seperti iklan iklan dan iklan,4,0,bagus gejala lagu putar iklan iklan iklan,positive,7,
"ok,,,",5,0,ok,positive,1,
lengkap banget,5,0,lengkap banget,positive,2,
bagusss sekali ğŸ‘ŒğŸ‘ŒğŸ˜,5,0,bagusss,positive,1,
baru coba,5,0,coba,positive,1,
enak di dgr walaupun lg kdg gk sesuai yg kita mauh tp bgs gk prlu byr mkshâ˜ºğŸ˜Š,5,0,enak dgr lg kdg gk sesuai yang mauh tp bgs gk prlu byr mksh,positive,14,
jadi enk pas dengerin lagu nyağŸ˜Œ tpi aku gk suka sama iklannya ngeganggu aja ğŸ˜—,5,0,enk pas dengerin lagu nya tpi gk suka iklannya ngeganggu saja,negative,11,
bagus,5,0,bagus,positive,1,
yok coll mantab bgt,5,0,yok coll mantab banget,positive,4,
bagusssssss,5,0,bagusssssss,positive,1,
saya suka sekali,5,0,suka,positive,1,
semoga masih bisa terus di dengerkan,5,0,semoga dengerkan,positive,2,
aaaa aku suka bgt sama Spotify cinta bgt deh sama app yg satu iniğŸ¤­,5,0,aaaa suka banget spotify cinta banget deh app yang,positive,9,
cocok untuk galauğŸ¤­ğŸ¤­,5,0,cocok galau,positive,2,
mantap,5,0,mantap,positive,1,
menarik,5,0,menarik,positive,1,
No disk,5,0,no disk,negative,2,
bagus untuk nyetel music,5,0,bagus nyetel music,positive,3,
sangat membantu,5,0,membantu,positive,1,
5 bintang kerana sangat amatt bagus tau gaa kerana bagus nya apa aku bisa ngesaddğŸ¤«,5,0,bintang kerana amatt bagus tau gaa kerana bagus nya ngesadd,positive,10,
"aplikasi nya bagus, layanan premium nya juga berfungsi sesuai. tapi kapan bisa seperti apple music, yg bisa menampilkan lyric saat terhubung android auto?",3,0,aplikasi nya bagus layanan premium nya berfungsi sesuai apple music yang menampilkan lyric terhubung android auto,positive,16,
bagussss...,5,0,bagussss,positive,1,
ini aku cuman mau bilang bagusih tapi pas aku hapus Spotify nya aku masuk kan lewat email jadi di suruh masukin password jadi ku masukin passwordnya tapi katanya pasword salah itu membuat aku jadi bingung kumasukkan sandi Email segala macam tapi tetap ngak bisa jadi tolong di perbaiki itu ngebuat aku ngak nyaman sekian terima kasih jangan lupa di perbaikin yağŸ™,4,0,cuman bilang bagusih pas hapus spotify nya masuk email suruh masukin password ku masukin passwordnya pasword salah bingung kumasukkan sandi email ngak tolong perbaiki ngebuat ngak nyaman sekian terima kasih lupa perbaikin ya,negative,33,
rusak ni apk gak biasa buat akun selalu terjadi masalah,1,0,rusak ni apk tidak akun,negative,5,
terrr....,5,0,terrr,positive,1,
sangat bagussss,5,0,bagussss,positive,1,
mantap...dan teruslah berkarya serta berinovasi,5,0,mantapdan teruslah berkarya berinovasi,positive,4,
gw masuk spotify malah bacaan seperti nya ada yang salah coba lagi padahal jaringan gw gk lemot atau pun lag ah kecewa berat apa spotify,1,0,gw masuk spotify bacaan nya salah coba jaringan gw gk lemot lag ah kecewa berat spotify,negative,16,
terlalu banyak iklan baru buka udah iklan baru mutar 1 lagu tapi dah iklan lagi... apa lagi iklanya 2 langsung benar benar buruk mau dengerin lagu dengan santai malah kebanyakan iklan ğŸ’©,1,0,iklan buka udah iklan mutar lagu sudah iklan iklanya langsung buruk dengerin lagu santai kebanyakan iklan,negative,16,
aplikasinya bagus tapi banyak iklannya kalo bisa iklannya di hapus,5,0,aplikasinya bagus iklannya kalo iklannya hapus,positive,6,
gak suka,1,0,tidak suka,negative,2,
"jujur ini aplikasi buat play musik terbagus sih, gratis lgi. tpi tolong hilangkan iklan nya.",5,0,jujur aplikasi play musik terbagus sih gratis lgi tpi tolong hilangkan iklan nya,negative,13,
bagus bangeeeeeeeeeeet,5,0,bagus bangeeeeeeeeeeet,positive,2,
terlalu banyak syarat dalam menggunakan aplikasi apa2 harus bayar dan mau ganti lagu pun di batas cman 3 kli dan harus nunggu 6 jam,1,0,syarat aplikasi bayar ganti lagu batas cman kli nunggu jam,neutral,10,
ok,5,0,ok,positive,1,
mantap,5,0,mantap,positive,1,
baguss bangett ğŸ«¶ğŸ¥°,5,0,baguss banget,positive,2,
bagus,5,0,bagus,positive,1,
the best pokoknya,5,0,the best pokoknya,positive,3,
bagus sekali komplit,5,0,bagus komplit,positive,2,
bagus,5,0,bagus,positive,1,
"nng iklan saking ngemis e kpencet iklan e wae lngsung otomatis download apk sporty ne , jan blas gak ndue isin tnn",1,0,nng iklan saking ngemis e kpencet iklan e wae lngsung otomatis download apk sporty ne jan blas tidak ndue isin tnn,negative,21,
iklanya kebanyakan bagi yang ga premium,1,0,iklanya kebanyakan tidak premium,negative,4,
Memberikan fasilitas mendengarkan music dengan nyaman,5,0,fasilitas mendengarkan music nyaman,positive,4,
Iklannya jelek bgt. Apaan tingklutek takting takletek *sfx gelas dibuat perkusi. Jelek dan mengganggu. Iklannya tambah ga jelas lg. Gua orang indo dikasih iklan bahasa eropa. Susah cari lagu dipencarian karena tidak bisa langsung dimainkan dan harus diputar acak dulu,1,1,iklannya jelek banget tingklutek takting takletek sfx gelas perkusi jelek mengganggu iklannya tidak lg gua orang indo dikasih iklan bahasa eropa susah cari lagu dipencarian langsung dimainkan diputar acak,negative,29,
lagu nya banyak dan enak didenger,5,0,lagu nya enak didenger,positive,4,
goodğŸ‘,5,0,good,positive,1,
good,5,0,good,positive,1,
nice aplikasi,5,0,nice aplikasi,positive,2,
bagus banget,5,0,bagus banget,positive,2,
bagus,5,0,bagus,positive,1,
update melulu,3,0,update melulu,negative,2,
goodd,5,0,goodd,positive,1,
bagus,4,0,bagus,positive,1,
"aplikasi aneh, lagu sering terhenti sendiri....tolong segera di fix.",1,0,aplikasi aneh lagu terhenti sendiritolong fix,negative,6,
bagus,5,0,bagus,positive,1,
"iklannya kelamaan kebanyakan, isi premium juga ga besar keuntungannya.",1,0,iklannya kebanyakan isi premium tidak keuntungannya,negative,6,
ok,4,0,ok,positive,1,
"bagus sih,, iklan nya juga g ganggu",5,0,bagus sih iklan nya g ganggu,positive,6,
keren,5,0,keren,positive,1,
sangat cocok,5,0,cocok,positive,1,
"untuk sejauh ini dan selama ini oke"" aja,cukup puas juga,enak buat temen tidur,enak juga kalo lagi bosen,intinya i like spotify ğŸ˜ğŸ˜ğŸ’—ğŸ¤¸ğŸ»â€â™€ï¸ğŸƒğŸ»â€â™€ï¸",4,0,oke ajacukup puas jugaenak temen tidurenak kalo bosenintinya i like spotify,positive,11,
KURANG BANYAK IKLANNYA,5,0,iklannya,positive,1,
bagus,5,0,bagus,positive,1,
SPOTIFY SELALU jadi aplikasi yang setiap hari pasti aku buka untuk semangat beraktifivitas dan mbalikin mood akuuuğŸ˜˜ğŸ˜˜ğŸ˜˜,5,0,spotify aplikasi buka semangat beraktifivitas mbalikin mood akuuu,positive,8,
keren MasyaAllah,5,0,keren masyaallah,positive,2,
"aplikasi nya baguss bngttt,gakk ngelag lagii enak bngt buat di pake pas lgi tdr ataupun lagii galauu",4,0,aplikasi nya baguss bngtttgakk ngelag lagii enak bngt pake pas lgi tdr lagii galauu,positive,14,
ga manusiawi lu bg. kecewa gw,1,1,tidak manusiawi lu bg kecewa gw,negative,6,
Sepp,4,0,sepp,neutral,1,
aku sangat senang aplikasi ini ada karna dia bukan cuman aplikasi dia juga teman bagi saya karna dia selalu ada di hidupku,5,0,senang aplikasi karna cuman aplikasi teman karna hidupku,positive,8,
iklannya 4 klo mao dengerin lagu setiap 2 lagu iklan 4,3,1,iklannya klo mao dengerin lagu lagu iklan,neutral,7,
aplikasi luar biasa,5,0,aplikasi,neutral,1,
"jangan hivi mulu plish, udah muak gw",1,0,hivi mulu plish udah muak gw,negative,6,
bagus,5,0,bagus,positive,1,
"bagus, lengkap bngt",5,0,bagus lengkap bngt,positive,3,
"serba harus premium,",1,0,serba premium,positive,2,
musik nya enak dan lengkap,5,0,musik nya enak lengkap,positive,4,
bagus gratis walaupun ada gangguan,5,0,bagus gratis gangguan,positive,3,
suaranya bagus,5,0,suaranya bagus,positive,2,
Saya menyukai spotify karna banyak musik faforit saya,5,0,menyukai spotify karna musik faforit,positive,5,
burikğŸ˜¹,1,0,burik,negative,1,
mantap banget,5,0,mantap banget,positive,2,
bagus,5,0,bagus,positive,1,
"lama kelamaan di paksa harus pake premium,jadi terbatas denger musik nya,tapi bagus sih 3 bintang",3,0,paksa pake premiumjadi terbatas denger musik nyatapi bagus sih bintang,positive,10,
seru sambil belajar,5,0,seru belajar,positive,2,
seru,5,0,seru,positive,1,
aplikasih spotify enak banget dan seruu iklan ny gak banyk cmn dikitt doang durasinya palingan gak nyampe 20 detik. aplikasih ini mudah untuk di pahami dan mudah di gunakan.,5,0,aplikasih spotify enak banget seruu iklan ny tidak banyk cmn dikitt doang durasinya palingan tidak nyampe detik aplikasih mudah pahami mudah,positive,21,
aplikasi favorite,5,0,aplikasi favorite,positive,2,
Disi gampang menemukan musik yang ku ingin hanya menulis lagu saja kalau tidak ingat judul Langsung dapet jadi gua saranin donglod,5,0,disi gampang menemukan musik ku menulis lagu judul langsung dapet gua saranin donglod,neutral,13,
bagus sekali aplikasi nya,5,0,bagus aplikasi nya,positive,3,
can listen to songs even though there is no wifi/quota fun poll,5,0,can listen to songs even though there is no wifiquota fun poll,neutral,12,
"pokoknya spotify is the best,pencarian lagunya sesuai dgn expectassy,,,",5,0,pokoknya spotify is the bestpencarian lagunya sesuai dgn expectassy,positive,9,
Spotify is good but there are a lot of ads please don't give ads but still use wifi,4,0,spotify is good but there are a lot of ads please dont give ads but still use wifi,neutral,18,
bagus banget lagunya sesuai yg kita mau dan bisa keluar dari aplikasi juga pokoknya bagus banget deh aku kasih nilai bintang 5,5,0,bagus banget lagunya sesuai yang aplikasi pokoknya bagus banget deh kasih nilai bintang,positive,13,
saya sangat suka banyak lagu bagus dan populer,5,0,suka lagu bagus populer,positive,4,
sangat bagus,5,0,bagus,positive,1,
aplikasinya sangat membantu saat main game,5,0,aplikasinya membantu main game,positive,4,
aplikasi keren,5,0,aplikasi keren,positive,2,
