content,score,thumbsUpCount,cleaned_content,sentiment_label
bagus ğŸ‘ŒğŸ»ğŸ‘ğŸ»,5,0,['bagus'],positive
bagus sekali ğŸ¥³ğŸ¥³ğŸ‘ğŸ‘ğŸ’‹,5,0,"['bagus', 'sekali']",positive
lagi nya enak di dengar,5,0,"['lagi', 'nya', 'enak', 'di', 'dengar']",positive
bagus sih tapi itu dulu sekarang mah aneh ni aplikasi pantes orang banyak pake yang mod,3,0,"['bagus', 'sih', 'tapi', 'itu', 'dulu', 'sekarang', 'mah', 'aneh', 'ni', 'aplikasi', 'pantes', 'orang', 'banyak', 'pake', 'yang', 'mod']",negative
sanggat sempurna aplikasi nya,5,0,"['sanggat', 'sempurna', 'aplikasi', 'nya']",positive
Sudah bagus cuman setiap saya mau pencet lagu yg ingin saya putar malah di suruh ke halaman premium,3,1,"['sudah', 'bagus', 'cuman', 'setiap', 'saya', 'mau', 'pencet', 'lagu', 'yang', 'ingin', 'saya', 'putar', 'malah', 'di', 'suruh', 'ke', 'halaman', 'premium']",negative
kalo gak premium cmn bisa beberapa lagunyo antar 6 atau 7 lagu,3,0,"['kalo', 'tidak', 'premium', 'cmn', 'bisa', 'beberapa', 'lagunyo', 'antar', 'atau', 'lagu']",negative
musik nya bersih dan untuk karauke saya suka dengan aplikasi ini tidak ada iklan mantap yg membuatnya,4,0,"['musik', 'nya', 'bersih', 'dan', 'untuk', 'karauke', 'saya', 'suka', 'dengan', 'aplikasi', 'ini', 'tidak', 'ada', 'iklan', 'mantap', 'yang', 'membuatnya']",positive
sangat menyenangkan bisa dengerin musik,5,0,"['sangat', 'menyenangkan', 'bisa', 'dengerin', 'musik']",positive
okey,5,0,['okey'],negative
bagus aja sih,4,0,"['bagus', 'saja', 'sih']",positive
Saat shuffle pintar lagu malah tidak terputar dan itu berulang berkali kali kita harus buka aplikasinya lagi dan cari lagi lagu yang di ingin kan bukanya shuffle itu berjalan tanpa henti!?,1,0,"['saat', 'shuffle', 'pintar', 'lagu', 'malah', 'tidak', 'terputar', 'dan', 'itu', 'berulang', 'berkali', 'kali', 'kita', 'harus', 'buka', 'aplikasinya', 'lagi', 'dan', 'cari', 'lagi', 'lagu', 'yang', 'di', 'ingin', 'kan', 'bukanya', 'shuffle', 'itu', 'berjalan', 'tanpa', 'henti']",negative
"Mantap, pertahankan",4,0,"['mantap', 'pertahankan']",positive
bagus banget gk ada iklan dan gk ada virus aman banget bagus buat public coba kalian instal spotifyğŸ«µğŸ»ğŸ«µğŸ»ğŸ«µğŸ»ğŸ¤ŒğŸ»ğŸ‘ŒğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»,5,1,"['bagus', 'banget', 'gk', 'ada', 'iklan', 'dan', 'gk', 'ada', 'virus', 'aman', 'banget', 'bagus', 'buat', 'public', 'coba', 'kalian', 'instal', 'spotify']",positive
ok,5,0,['ok'],negative
aku suka Spotify,5,0,"['aku', 'suka', 'spotify']",positive
"Spotify ga sprti aplikasi lain, iklannya pun ga bnyk. Is the best deh pokonyağŸ˜˜ğŸ˜˜",5,2,"['spotify', 'tidak', 'sprti', 'aplikasi', 'lain', 'iklannya', 'pun', 'tidak', 'bnyk', 'is', 'the', 'best', 'deh', 'pokonya']",positive
"oke lah, playlist nya banyak",5,0,"['oke', 'lah', 'playlist', 'nya', 'banyak']",positive
"Kek Kikir Impact, udah pada premium mana dibatasin lagi jumlah lagu yang bisa diputar, Holysht.",1,1,"['kek', 'kikir', 'impact', 'udah', 'pada', 'premium', 'mana', 'dibatasin', 'lagi', 'jumlah', 'lagu', 'yang', 'bisa', 'diputar', 'holysht']",negative
"untuk pihak spotify, sebelumnya permisi aga lancang. Saya mempunyai masukan untuk Spotify kedepannya agar segera meluncurkan fitur mengganti tema, karna dengan begitu kalangan yang memakai Spotify bisa meng kreasikan seleranya melalui fitur 'tema'. Terimakasih",5,346,"['untuk', 'pihak', 'spotify', 'sebelumnya', 'permisi', 'aga', 'lancang', 'saya', 'mempunyai', 'masukan', 'untuk', 'spotify', 'kedepannya', 'agar', 'segera', 'meluncurkan', 'fitur', 'mengganti', 'tema', 'karna', 'dengan', 'begitu', 'kalangan', 'yang', 'memakai', 'spotify', 'bisa', 'meng', 'kreasikan', 'seleranya', 'melalui', 'fitur', 'tema', 'terimakasih']",neutral
Bagus bgt Gk ada kekurangannya tp Adain dong lirik lagu nya,5,0,"['bagus', 'banget', 'gk', 'ada', 'kekurangannya', 'tp', 'adain', 'dong', 'lirik', 'lagu', 'nya']",positive
Agak lain,5,0,"['agak', 'lain']",negative
Saya mau mengucapkan terimakasi pada apelikasi spotify karena ribuan lagu yg tersedia dan geratis tampa kouta siapa buruan instal apelikasi ini bagi siapa yg suka,5,0,"['saya', 'mau', 'mengucapkan', 'terimakasi', 'pada', 'apelikasi', 'spotify', 'karena', 'ribuan', 'lagu', 'yang', 'tersedia', 'dan', 'geratis', 'tampa', 'kouta', 'siapa', 'buruan', 'instal', 'apelikasi', 'ini', 'bagi', 'siapa', 'yang', 'suka']",positive
Sangat mambantu dan menghibur,5,0,"['sangat', 'mambantu', 'dan', 'menghibur']",positive
keren,4,0,['keren'],positive
keren....,5,0,['keren'],positive
nice,5,0,['nice'],positive
"Overall udh fair. Iklan sepadan karena pake paket Free. Tapi sayangnya, fitur Shuffle Pintarnya menurut saya kurang karena terkadang setelah kita memutar musik dengan artis dan genre yg sama, tiba2 di next song genre dan artisnya berbeda sekali. Thanks",5,1891,"['overall', 'sudah', 'fair', 'iklan', 'sepadan', 'karena', 'pake', 'paket', 'free', 'tapi', 'sayangnya', 'fitur', 'shuffle', 'pintarnya', 'menurut', 'saya', 'kurang', 'karena', 'terkadang', 'setelah', 'kita', 'memutar', 'musik', 'dengan', 'artis', 'dan', 'genre', 'yang', 'sama', 'tiba', 'di', 'next', 'song', 'genre', 'dan', 'artisnya', 'berbeda', 'sekali', 'thanks']",negative
bnyak iklan kaga seruuu,5,0,"['bnyak', 'iklan', 'kaga', 'seruuu']",negative
Sumpah ini aplikasi Keren bangeut Ngak cuma lagu aja Murotal juga ada Beda banget sama apk sebelah jangankan murotal sholawat aja ngak ada.....!!! Update selanjut nya di tunggu min...!!!,5,9,"['sumpah', 'ini', 'aplikasi', 'keren', 'bangeut', 'ngak', 'cuma', 'lagu', 'saja', 'murotal', 'juga', 'ada', 'beda', 'banget', 'sama', 'apk', 'sebelah', 'jangankan', 'murotal', 'sholawat', 'saja', 'ngak', 'ada', 'update', 'selanjut', 'nya', 'di', 'tunggu', 'min']",negative
good experience,5,0,"['good', 'experience']",positive
Nice,5,0,['nice'],positive
"Dari dulu udh seneng bgt pake ini buat dengerin lagi, sekarang banyak bgt premium nya, dengerin lagi ada batasnya lagi. Jadi ga mood dengerin lagu. Ga rekomen buat di instal.",1,3,"['dari', 'dulu', 'sudah', 'seneng', 'banget', 'pake', 'ini', 'buat', 'dengerin', 'lagi', 'sekarang', 'banyak', 'banget', 'premium', 'nya', 'dengerin', 'lagi', 'ada', 'batasnya', 'lagi', 'jadi', 'tidak', 'mood', 'dengerin', 'lagu', 'tidak', 'rekomen', 'buat', 'di', 'instal']",positive
bagus,5,0,['bagus'],positive
bagus,5,0,['bagus'],positive
bagus,5,0,['bagus'],positive
"Gudang nya segala jenis music,",5,0,"['gudang', 'nya', 'segala', 'jenis', 'music']",positive
mantab,5,0,['mantab'],positive
"Aplikasi yang sangat bagus.. saya selalu belajar sambil mendengarkan musik di Spotify agar bawaan nya enjoy, hanya saja iklan nya terlalu lama bagi saya",5,0,"['aplikasi', 'yang', 'sangat', 'bagus', 'saya', 'selalu', 'belajar', 'sambil', 'mendengarkan', 'musik', 'di', 'spotify', 'agar', 'bawaan', 'nya', 'enjoy', 'hanya', 'saja', 'iklan', 'nya', 'terlalu', 'lama', 'bagi', 'saya']",positive
Saya suka aplikasi ini (Spotify) lagunya banyak pilihan dan suaranya bagus..trima kasih spotify.,5,2,"['saya', 'suka', 'aplikasi', 'ini', 'spotify', 'lagunya', 'banyak', 'pilihan', 'dan', 'suaranya', 'bagustrima', 'kasih', 'spotify']",positive
Terlalu banyak iklan,3,0,"['terlalu', 'banyak', 'iklan']",negative
Recommended sekali,5,0,"['recommended', 'sekali']",positive
terlalu banyak iklan dan sistem keamanan akun Spotify juga lemah rentan di curi juga ğŸ‘,1,0,"['terlalu', 'banyak', 'iklan', 'dan', 'sistem', 'keamanan', 'akun', 'spotify', 'juga', 'lemah', 'rentan', 'di', 'curi', 'juga']",negative
Bagus sekali,5,0,"['bagus', 'sekali']",positive
Bagus tapi ada iklannya kadang kadang,4,0,"['bagus', 'tapi', 'ada', 'iklannya', 'kadang', 'kadang']",negative
bgus kalau gratis,5,0,"['bgus', 'kalau', 'gratis']",neutral
Sangat bagus sekali karena membantu saya untuk tidur menyanyikan lagu untuk saya seperti itu cerita saya untuk aplikasi spotify -salam sobat sportify ya- -Akmal-,5,0,"['sangat', 'bagus', 'sekali', 'karena', 'membantu', 'saya', 'untuk', 'tidur', 'menyanyikan', 'lagu', 'untuk', 'saya', 'seperti', 'itu', 'cerita', 'saya', 'untuk', 'aplikasi', 'spotify', 'salam', 'sobat', 'sportify', 'ya', 'akmal']",positive
keren,5,0,['keren'],positive
"Mantap, mudah dan lengkap semua lagu ada... makasih spotify",5,2,"['mantap', 'mudah', 'dan', 'lengkap', 'semua', 'lagu', 'ada', 'makasih', 'spotify']",positive
lagu-lagunya lengkap semua usia,5,0,"['lagulagunya', 'lengkap', 'semua', 'usia']",positive
baguuuuususususus,5,0,['baguuuuususususus'],negative
bagusssss,4,0,['bagusssss'],positive
bgus,5,0,['bgus'],positive
menyenangkan,5,0,['menyenangkan'],positive
"bagus untuk mencari musiknya sesuai selera, yang mines iklannya astagaağŸ˜«ğŸ¤£ğŸ™ğŸ»",5,0,"['bagus', 'untuk', 'mencari', 'musiknya', 'sesuai', 'selera', 'yang', 'mines', 'iklannya', 'astagaa']",positive
banyak musik yang seru,5,0,"['banyak', 'musik', 'yang', 'seru']",positive
"harus berbayar gitu emang kalau mau pencet musik ya? gabisa gitu gratis? bagi anak sekolahan, sama orang yang berhemat itu sangat ngeganggu, tolong dong dibenerin",3,19,"['harus', 'berbayar', 'gitu', 'emang', 'kalau', 'mau', 'pencet', 'musik', 'ya', 'gabisa', 'gitu', 'gratis', 'bagi', 'anak', 'sekolahan', 'sama', 'orang', 'yang', 'berhemat', 'itu', 'sangat', 'ngeganggu', 'tolong', 'dong', 'dibenerin']",negative
bagus njir,5,0,"['bagus', 'njir']",positive
iklan mulu,1,0,"['iklan', 'mulu']",negative
lagu nya bagus tapi ada iklan jafi kurang seru,4,0,"['lagu', 'nya', 'bagus', 'tapi', 'ada', 'iklan', 'jafi', 'kurang', 'seru']",negative
Ok,4,0,['ok'],negative
Untuk fitur bagus,5,0,"['untuk', 'fitur', 'bagus']",positive
Bagus mantap coba lah kasi ipen prium untuk stiap orang yang sudah melampauin setahun pemakain apk ini,4,0,"['bagus', 'mantap', 'coba', 'lah', 'kasi', 'ipen', 'prium', 'untuk', 'stiap', 'orang', 'yang', 'sudah', 'melampauin', 'setahun', 'pemakain', 'apk', 'ini']",positive
Aplikasinya Good tapi tolong iklannya jangan yang serem ğŸ™ğŸ»ğŸ˜­,4,0,"['aplikasinya', 'good', 'tapi', 'tolong', 'iklannya', 'jangan', 'yang', 'serem']",neutral
mutar music aja harus premium tolol emang ğŸ¤¬ğŸ¤¬ğŸ’¢,1,0,"['mutar', 'music', 'saja', 'harus', 'premium', 'tolol', 'emang']",negative
Bagus.hampir semua lagu ada semua recommend banget deh pokoknya..sukses terus buat sportfy,5,10,"['bagushampir', 'semua', 'lagu', 'ada', 'semua', 'recommend', 'banget', 'deh', 'pokoknyasukses', 'terus', 'buat', 'sportfy']",positive
Syuka sama aplikasinya..pngen denger apa dan jadi lagu favorit tinggal add diplaylist,5,2,"['syuka', 'sama', 'aplikasinyapngen', 'denger', 'apa', 'dan', 'jadi', 'lagu', 'favorit', 'tinggal', 'add', 'diplaylist']",positive
Menyenangkan dan ....,5,0,"['menyenangkan', 'dan']",positive
joooss,5,0,['joooss'],positive
love you,5,0,"['love', 'you']",negative
ini ngembaliin mood aku banget,5,0,"['ini', 'ngembaliin', 'mood', 'aku', 'banget']",positive
sangat berguna karena bisa bikin tenang,5,0,"['sangat', 'berguna', 'karena', 'bisa', 'bikin', 'tenang']",positive
ngapain ngeblokir spotify mod?pake spotfy biasa aja ga gÃ¹na harus aja premium mana cuman ngeliat lirik aja ampe di batesin kontoI bet ta1 mending gw pindah ke yg lain aja udah,1,0,"['ngapain', 'ngeblokir', 'spotify', 'modpake', 'spotfy', 'biasa', 'saja', 'tidak', 'gna', 'harus', 'saja', 'premium', 'mana', 'cuman', 'ngeliat', 'lirik', 'saja', 'ampe', 'di', 'batesin', 'kontoi', 'bet', 'ta', 'mending', 'gw', 'pindah', 'ke', 'yang', 'lain', 'saja', 'udah']",negative
mantap,5,0,['mantap'],positive
mantapp,5,0,['mantapp'],positive
"Aku gak suka aplikasi ini, segala pake daftar daftaran segala, pokonya aku cuma pengen langsung masuk aja gitu",1,1,"['aku', 'tidak', 'suka', 'aplikasi', 'ini', 'segala', 'pake', 'daftar', 'daftaran', 'segala', 'pokonya', 'aku', 'cuma', 'pengen', 'langsung', 'masuk', 'saja', 'gitu']",negative
"semua musik lengkap ada, pokoknya asyiiiiik",5,0,"['semua', 'musik', 'lengkap', 'ada', 'pokoknya', 'asyiiiiik']",positive
aku kasih bintang lima tapi tolong dong kolo udah 3 hari make Spotify masa iya Spotify nya maksa nawarin untuk memakai Spotify premium tolong ya perbaiki jangan ada pemaksaan,5,5,"['aku', 'kasih', 'bintang', 'lima', 'tapi', 'tolong', 'dong', 'kolo', 'udah', 'hari', 'make', 'spotify', 'masa', 'iya', 'spotify', 'nya', 'maksa', 'nawarin', 'untuk', 'memakai', 'spotify', 'premium', 'tolong', 'ya', 'perbaiki', 'jangan', 'ada', 'pemaksaan']",negative
I LOVE IT (cuz i'm A kemonoimim ngl),5,0,"['i', 'love', 'it', 'cuz', 'im', 'a', 'kemonoimim', 'ngl']",negative
Bgus tapi blm ke instal Lama nginstal ya cepetin donk trs klo mau musick gk ada suara nya jadi ya lemot padahal udh di hapusin ft ft aku ğŸ¤«ğŸ¤«ğŸ¤«ğŸ˜ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¤«ğŸ¦ğŸ¤«ğŸ¦ğŸ¦ğŸ¤«ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ™‚ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ™‚ğŸ¦ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ™‚ğŸ¦ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¦ğŸ™‚ğŸ˜ğŸ¦ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¦ğŸ™„ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸš«ğŸ¥€ğŸ¦ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¦ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¦ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸš«ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ™‚ğŸ™‚ğŸ¦ğŸ™‚ğŸ¦ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¥€ğŸ¦ğŸ¦ğŸ¥€ğŸ™„ğŸ¥€,5,0,"['bgus', 'tapi', 'blm', 'ke', 'instal', 'lama', 'nginstal', 'ya', 'cepetin', 'donk', 'terus', 'klo', 'mau', 'musick', 'gk', 'ada', 'suara', 'nya', 'jadi', 'ya', 'lemot', 'padahal', 'sudah', 'di', 'hapusin', 'ft', 'ft', 'aku']",negative
bagus bgt trs banyak pilihan lagu nya lagi,5,0,"['bagus', 'banget', 'terus', 'banyak', 'pilihan', 'lagu', 'nya', 'lagi']",positive
Aplikasinya bagus saya sangat suka,5,0,"['aplikasinya', 'bagus', 'saya', 'sangat', 'suka']",positive
bgus,5,0,['bgus'],positive
Ok,5,0,['ok'],negative
Aplikasi nya bagus bangetğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­â¤â¤â¤â¤â¤gak nyesel deh download aplikasi iniğŸ¥ºâ¤â¤saya bisa denger semua lagu bts tanpa bayar besarğŸ¥ºâ¤â¤sukses terus buat pemilik aplikasi nyağŸ¥ºâ¤â¤ğŸ¤²,5,1,"['aplikasi', 'nya', 'bagus', 'bangetgak', 'nyesel', 'deh', 'download', 'aplikasi', 'inisaya', 'bisa', 'denger', 'semua', 'lagu', 'bts', 'tanpa', 'bayar', 'besarsukses', 'terus', 'buat', 'pemilik', 'aplikasi', 'nya']",positive
Bagus,4,0,['bagus'],positive
Bagoees... !,5,0,['bagoees'],positive
paket premium terlalu mahal,1,2,"['paket', 'premium', 'terlalu', 'mahal']",negative
sukaaaaaa bangettt dengar lagu di Spotify â€¼ï¸,5,0,"['sukaaaaaa', 'bangettt', 'dengar', 'lagu', 'di', 'spotify']",positive
"Apk nya udah begus bengett, Tapi ada satu yang buat gw nggak suka sma ni apk, yaitu iklan nya.. nggak masalah sih mau tampilkan iklan sebanyak mungkin, tapi pliss jangan keluarin iklan horor pass malam hari soalnya gw nggak bisa tidur ğŸ˜­ğŸ˜­",5,7,"['apk', 'nya', 'udah', 'begus', 'bengett', 'tapi', 'ada', 'satu', 'yang', 'buat', 'gw', 'tidak', 'suka', 'sma', 'ni', 'apk', 'yaitu', 'iklan', 'nya', 'tidak', 'masalah', 'sih', 'mau', 'tampilkan', 'iklan', 'sebanyak', 'mungkin', 'tapi', 'pliss', 'jangan', 'keluarin', 'iklan', 'horor', 'pass', 'malam', 'hari', 'soalnya', 'gw', 'tidak', 'bisa', 'tidur']",negative
mempermudah pengguna untuk mendengarkan musik,5,0,"['mempermudah', 'pengguna', 'untuk', 'mendengarkan', 'musik']",positive
Saya driver online dan selalu pake musiknya spotify agar perjalanan makin enak hehe,5,0,"['saya', 'driver', 'online', 'dan', 'selalu', 'pake', 'musiknya', 'spotify', 'agar', 'perjalanan', 'semakin', 'enak', 'hehe']",positive
"Sangat puas suaranya jernih,pokoknya tooop",5,0,"['sangat', 'puas', 'suaranya', 'jernihpokoknya', 'tooop']",positive
sangat bagus...,5,0,"['sangat', 'bagus']",positive
Dgn aplikasi ini musik begitu mudah hampir tanpa batas... Tapi sikap bijak dlm memilih yg terbaik.,5,7,"['dgn', 'aplikasi', 'ini', 'musik', 'begitu', 'mudah', 'hampir', 'tanpa', 'batas', 'tapi', 'sikap', 'bijak', 'dlm', 'memilih', 'yang', 'terbaik']",positive
"Mantap banget, gak terlalu banyak iklan pokoknya sip",5,1,"['mantap', 'banget', 'tidak', 'terlalu', 'banyak', 'iklan', 'pokoknya', 'sip']",positive
Seru sekali saya suka bangetğŸ˜˜ğŸ˜˜ğŸ˜˜ğŸ¥°ğŸ¤©ğŸ¤©ğŸ¤©ğŸ¤­,5,0,"['seru', 'sekali', 'saya', 'suka', 'banget']",positive
"Aplikasi musik streaming dengan kualitas dan kuantitas terbaik, pertahankan Audio dan equilazernya ,",5,0,"['aplikasi', 'musik', 'streaming', 'dengan', 'kualitas', 'dan', 'kuantitas', 'terbaik', 'pertahankan', 'audio', 'dan', 'equilazernya']",positive
Bagus,5,0,['bagus'],positive
Aplikasi ini sangat membantu utk mendengarkan musik dengan bebas sesuai keinginan. Semua genre ada disini,5,1,"['aplikasi', 'ini', 'sangat', 'membantu', 'utk', 'mendengarkan', 'musik', 'dengan', 'bebas', 'sesuai', 'keinginan', 'semua', 'genre', 'ada', 'disini']",positive
Emang bagus Banget sih tapi untuk liriknya Tolong Spotify ada kn terjemahan bahasa Indonesia nya dong jadi para pendengar bisa mengetahui isi lagu tersebut,5,9,"['emang', 'bagus', 'banget', 'sih', 'tapi', 'untuk', 'liriknya', 'tolong', 'spotify', 'ada', 'kn', 'terjemahan', 'bahasa', 'indonesia', 'nya', 'dong', 'jadi', 'para', 'pendengar', 'bisa', 'mengetahui', 'isi', 'lagu', 'tersebut']",negative
mantap,5,0,['mantap'],positive
enak lagu nya,4,0,"['enak', 'lagu', 'nya']",positive
mantap wak,5,0,"['mantap', 'wak']",positive
"barca has lifted the cup, we have to be premium again?, free us from ads! VISCA BARCAğŸ’™â¤ï¸",5,0,"['barca', 'has', 'lifted', 'the', 'cup', 'we', 'have', 'to', 'be', 'premium', 'again', 'free', 'us', 'from', 'ads', 'visca', 'barca']",neutral
"Sekarang dikit dikit premium, sekalian aja buat aplikasi lo berbayar sat biar yang free gabisa denger sama sekali",2,0,"['sekarang', 'dikit', 'dikit', 'premium', 'sekalian', 'saja', 'buat', 'aplikasi', 'lo', 'berbayar', 'sat', 'biar', 'yang', 'free', 'gabisa', 'denger', 'sama', 'sekali']",negative
Ini sangat bagusğŸ‘,5,0,"['ini', 'sangat', 'bagus']",positive
"suka bangett sama spotify, jadi bisa denger lagu 24/7, pilihan lagunya juga banyak â˜†___â˜† love u spotify <333",5,0,"['suka', 'banget', 'sama', 'spotify', 'jadi', 'bisa', 'denger', 'lagu', 'pilihan', 'lagunya', 'juga', 'banyak', 'love', 'u', 'spotify']",positive
gacor,5,0,['gacor'],positive
bgus,5,0,['bgus'],positive
good,5,0,['good'],positive
aplikasinya bagus karena ada iklanya,5,0,"['aplikasinya', 'bagus', 'karena', 'ada', 'iklanya']",positive
"data masi banyak,sinyal bagus,tpi tetep aja lag pas muter lagu itu mksdnya gimana? nyoba uninstal trus instal lgi and login ke akun sebelumnya tpi knp smua playlist malah ilang? mana playlist udah 300+ lgi,kan males klo harus nambahin satu satu",1,5,"['data', 'masi', 'banyaksinyal', 'bagustpi', 'tetep', 'saja', 'lag', 'pas', 'muter', 'lagu', 'itu', 'mksdnya', 'gimana', 'nyoba', 'uninstal', 'trus', 'instal', 'lgi', 'and', 'login', 'ke', 'akun', 'sebelumnya', 'tpi', 'knp', 'smua', 'playlist', 'malah', 'ilang', 'mana', 'playlist', 'udah', 'lgikan', 'males', 'klo', 'harus', 'nambahin', 'satu', 'satu']",negative
baguss bisa di pakai pas lagi pengen dengerin lagu,5,0,"['baguss', 'bisa', 'di', 'pakai', 'pas', 'lagi', 'pengen', 'dengerin', 'lagu']",positive
Sangat bagus jadi tunggu apalagi!!! buruan downold spotify bisa dengerin musik kesukaan kaliann!!!!!,5,6,"['sangat', 'bagus', 'jadi', 'tunggu', 'apalagi', 'buruan', 'downold', 'spotify', 'bisa', 'dengerin', 'musik', 'kesukaan', 'kaliann']",positive
mantap,5,0,['mantap'],positive
Sangat memuaskan,5,0,"['sangat', 'memuaskan']",positive
good bettt,5,0,"['good', 'bettt']",positive
Aplikasi ini sangat bagus untuk mendengar musik pokoknya rekomendasi buat yg suka mendengar musik,5,1,"['aplikasi', 'ini', 'sangat', 'bagus', 'untuk', 'mendengar', 'musik', 'pokoknya', 'rekomendasi', 'buat', 'yang', 'suka', 'mendengar', 'musik']",positive
baguss,5,0,['baguss'],positive
Terbaik,5,0,['terbaik'],positive
keren lagu apa aja ada goodğŸ‘ di jamin gak nyesel klo saya nyesel saya gak bakal dwonload Spotify iniğŸ˜ŠğŸ™ğŸ‘,5,0,"['keren', 'lagu', 'apa', 'saja', 'ada', 'good', 'di', 'jamin', 'tidak', 'nyesel', 'klo', 'saya', 'nyesel', 'saya', 'tidak', 'bakal', 'dwonload', 'spotify', 'ini']",positive
"baguss bangett,suka pakai buat dengerin musik walaupun banyak iklannya",5,1,"['baguss', 'bangettsuka', 'pakai', 'buat', 'dengerin', 'musik', 'walaupun', 'banyak', 'iklannya']",positive
Keren banget music nya lengkap keren keren lagi dan juga gratis tentunya jadi mau dengar lagu jadi enak semoga aja kedepannya Spotify selalu sukses dan makin banyak peminatnya ğŸ‘â¤ï¸,5,4,"['keren', 'banget', 'music', 'nya', 'lengkap', 'keren', 'keren', 'lagi', 'dan', 'juga', 'gratis', 'tentunya', 'jadi', 'mau', 'dengar', 'lagu', 'jadi', 'enak', 'semoga', 'saja', 'kedepannya', 'spotify', 'selalu', 'sukses', 'dan', 'semakin', 'banyak', 'peminatnya']",positive
pokonya bagus semua lagu ada!!!!!!!!!!,5,0,"['pokonya', 'bagus', 'semua', 'lagu', 'ada']",positive
Saya suka aplikasi Spotify suaranya sangat sempurna sekali ğŸ‘Œ,5,0,"['saya', 'suka', 'aplikasi', 'spotify', 'suaranya', 'sangat', 'sempurna', 'sekali']",positive
Bagus itu aja,5,0,"['bagus', 'itu', 'saja']",positive
Saat hp dimatikan lagu nya tetap menyalaa,4,0,"['saat', 'hp', 'dimatikan', 'lagu', 'nya', 'tetap', 'menyalaa']",neutral
